profile_id	axis_role	role	key_width	value_width	head_count	steps_per_head	proof_size_bytes	envelope_size_bytes	verify_median_us	verify_min_us	verify_max_us	verify_runs_us	source_plus_sidecar_verify_median_us	fused_verify_median_us	fused_to_source_plus_sidecar_verify_median_ratio	timing_status
d8_single_head_seq8	baseline	source_arithmetic	8	8	1	8	44692	451982	2278	2172	2989	2989,2280,2278,2183,2172	3137	6503	2.073	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_single_head_seq8	baseline	logup_sidecar	8	8	1	8	14745	214085	859	840	1007	1007,891,859,840,843	3137	6503	2.073	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_single_head_seq8	baseline	fused	8	8	1	8	47698	478713	6503	6488	6754	6754,6498,6503,6532,6488	3137	6503	2.073	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_single_head_seq8	width_axis	source_arithmetic	16	16	1	8	61516	639928	3903	3892	4124	4124,3892,3898,3903,4023	4562	7427	1.628014	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_single_head_seq8	width_axis	logup_sidecar	16	16	1	8	13445	257041	659	651	725	725,718,652,659,651	4562	7427	1.628014	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_single_head_seq8	width_axis	fused	16	16	1	8	64503	666515	7427	6297	9368	6401,7427,9368,6297,8686	4562	7427	1.628014	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d32_single_head_seq8	width_axis_extension	source_arithmetic	32	32	1	8	101120	1061990	8277	7866	8518	8155,8518,8374,7866,8277	9219	12140	1.316846	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d32_single_head_seq8	width_axis_extension	logup_sidecar	32	32	1	8	15562	379293	942	928	1110	1110,977,942,928,930	9219	12140	1.316846	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d32_single_head_seq8	width_axis_extension	fused	32	32	1	8	107261	1113806	12140	11956	12430	12222,12056,11956,12430,12140	9219	12140	1.316846	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq8	head_axis	source_arithmetic	8	8	2	8	47104	563637	3216	3151	3299	3299,3180,3151,3216,3219	4856	11132	2.292422	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq8	head_axis	logup_sidecar	8	8	2	8	18104	333577	1640	1625	1786	1737,1640,1634,1786,1625	4856	11132	2.292422	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq8	head_axis	fused	8	8	2	8	49508	585857	11132	11006	11237	11234,11132,11031,11237,11006	4856	11132	2.292422	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_four_head_seq8	head_axis_extension	source_arithmetic	8	8	4	8	52746	788949	5129	5110	5305	5305,5135,5114,5110,5129	8263	19853	2.402638	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_four_head_seq8	head_axis_extension	logup_sidecar	8	8	4	8	21783	543187	3134	3048	3219	3144,3219,3048,3124,3134	8263	19853	2.402638	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_four_head_seq8	head_axis_extension	fused	8	8	4	8	53468	797717	19853	19779	20158	19801,19779,20158,19853,20098	8263	19853	2.402638	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_eight_head_seq8	head_axis_extension	source_arithmetic	8	8	8	8	52392	1151543	9127	9021	9205	9175,9127,9111,9205,9021	15443	37555	2.431846	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_eight_head_seq8	head_axis_extension	logup_sidecar	8	8	8	8	21694	907902	6316	6193	6503	6503,6193,6316,6324,6194	15443	37555	2.431846	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_eight_head_seq8	head_axis_extension	fused	8	8	8	8	59375	1210413	37555	37131	37876	37876,37555,37483,37131,37853	15443	37555	2.431846	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_sixteen_head_seq8	head_axis_extension	source_arithmetic	8	8	16	8	60649	1956775	18228	18022	18928	18928,18170,18022,18327,18228	25813	29889	1.157905	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_sixteen_head_seq8	head_axis_extension	logup_sidecar	8	8	16	8	28062	1698027	7585	7537	10060	7585,7661,7575,7537,10060	25813	29889	1.157905	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_sixteen_head_seq8	head_axis_extension	fused	8	8	16	8	65006	1994648	29889	28897	31746	30303,29889,28897,31746,29329	25813	29889	1.157905	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq16	sequence_axis	source_arithmetic	8	8	2	16	52366	982131	8693	8264	8707	8340,8264,8693,8707,8694	13495	35959	2.664617	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq16	sequence_axis	logup_sidecar	8	8	2	16	27078	781775	4802	4683	5135	4864,4683,5135,4747,4802	13495	35959	2.664617	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq16	sequence_axis	fused	8	8	2	16	60502	1050248	35959	35420	36048	36048,35963,35592,35420,35959	13495	35959	2.664617	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq32	sequence_axis_extension	source_arithmetic	8	8	2	32	62983	2418371	34612	34067	35001	35001,34378,34701,34612,34067	51086	139509	2.730866	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq32	sequence_axis_extension	logup_sidecar	8	8	2	32	35029	2196691	16474	16378	16693	16693,16477,16378,16416,16474	51086	139509	2.730866	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d8_two_head_seq32	sequence_axis_extension	fused	8	8	2	32	66327	2448150	139509	137694	153580	139985,153580,137694,139509,138598	51086	139509	2.730866	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_two_head_seq8	combined_width_head_axis	source_arithmetic	16	16	2	8	73508	880372	5465	5354	5648	5648,5465,5522,5411,5354	7871	19345	2.457756	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_two_head_seq8	combined_width_head_axis	logup_sidecar	16	16	2	8	18088	438961	2406	2366	2592	2590,2406,2366,2592,2391	7871	19345	2.457756	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_two_head_seq8	combined_width_head_axis	fused	16	16	2	8	78211	921008	19345	19140	19572	19572,19498,19140,19345,19272	7871	19345	2.457756	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_two_head_seq16	combined_width_head_sequence_axis	source_arithmetic	16	16	2	16	83330	1554385	14162	13896	14269	14269,13896,14141,14263,14162	21239	63067	2.969396	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_two_head_seq16	combined_width_head_sequence_axis	logup_sidecar	16	16	2	16	24828	1088326	7077	6998	7220	7077,7126,7040,7220,6998	21239	63067	2.969396	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
d16_two_head_seq16	combined_width_head_sequence_axis	fused	16	16	2	16	84868	1569734	63067	62840	63826	62849,62840,63363,63826,63067	21239	63067	2.969396	ENGINEERING_LOCAL_OBSERVATION_ONLY_NOT_PUBLIC_BENCHMARK
